"","Caso","Tipo","pvalor","pvalorL","pvalorG"
"1","1-2","MelhorResultado ~ Caso",0.837397500557454,0.581301249721273,0.418698750278727
"2","1-2","PiorResultado ~ Caso",0.596092707764019,0.701953646117991,0.298046353882009
"3","1-2","Media ~ Caso",0.241685300310749,0.120842650155374,0.879157349844626
"4","1-2","DesvioPadrao ~ Caso",0.546789502995648,0.726605248502176,0.273394751497824
"5","1-2","Tempo ~ Caso",0.378797262613479,0.81060136869326,0.18939863130674
"6","3-4","MelhorResultado ~ Caso",0.249968151259033,0.124984075629516,0.875015924370484
"7","3-4","PiorResultado ~ Caso",0.892974182930605,0.553512908534698,0.446487091465302
"8","3-4","Media ~ Caso",0.000999499699610394,0.999500250150195,0.000499749849805197
"9","3-4","DesvioPadrao ~ Caso",0.140577048031777,0.929711475984111,0.0702885240158886
"10","3-4","Tempo ~ Caso",0.175438483097599,0.0877192415487994,0.912280758451201
"11","5-6","MelhorResultado ~ Caso",1.26292434542278e-11,6.3146217271139e-12,0.999999999993685
"12","5-6","PiorResultado ~ Caso",0.498327434859925,0.750836282570037,0.249163717429963
"13","5-6","Media ~ Caso",5.50177508341892e-31,2.75088754170946e-31,1
"14","5-6","DesvioPadrao ~ Caso",4.65612331613049e-14,0.999999999999977,2.32806165806524e-14
"15","5-6","Tempo ~ Caso",4.19349695967756e-30,2.09674847983878e-30,1
"16","7-8","MelhorResultado ~ Caso",5.23719714442281e-21,2.6185985722114e-21,1
"17","7-8","PiorResultado ~ Caso",0.40019192088128,0.20009596044064,0.79990403955936
"18","7-8","Media ~ Caso",5.14618660859206e-19,1,2.57309330429603e-19
"19","7-8","DesvioPadrao ~ Caso",9.39901922785323e-59,1,4.69950961392662e-59
"20","7-8","Tempo ~ Caso",1.37917935208051e-46,1,6.89589676040253e-47
